Agent Size,No Signal - History Based,No Signal - Reward Based,Mandatory Signal - History Based,Mandatory Signal - Reward Based,Optional Signal - History Based,Optional Signal - Reward Based
2,0.3,0.5,0.45,0.5,0.45,0.7
3,0.75,0.5,0.4,0.4,0.3,0.4
4,0.55,0.55,0.55,0.5,0.65,0.55
6,0.45,0.3,0.6,0.45,0.6,0.55
8,0.5,0.55,0.42105263157894735,0.5,0.7,0.35
10,0.45,0.6,0.4166666666666667,0.5,0.45,0.7
16,0.3333333333333333,0.5,0.5,0.5,0.42105263157894735,0.55
20,1.0,0.35,1.0,0.6,0.5263157894736842,0.45
