Agent Size,No Signal - History Based,No Signal - Reward Based,Mandatory Signal - History Based,Mandatory Signal - Reward Based,Optional Signal - History Based,Optional Signal - Reward Based
2,19.0,21.0,12.0,13.5,12.0,10.5
3,28.5,31.5,22.5,18.0,26.0,23.5
4,103.5,52.0,31.0,28.5,35.5,31.5
6,435.5,72.0,181.0,58.5,59.5,30.5
8,2708.5,110.0,5131.0,110.5,137.5,145.0
10,9819.0,191.5,40262.5,188.5,479.0,194.5
16,92895.0,445.0,90128.0,617.5,13126.0,823.0
20,98844.5,647.5,95051.5,747.0,26800.5,1017.5
