Agent Size,No Signal - History Based,No Signal - Reward Based,Mandatory Signal - History Based,Mandatory Signal - Reward Based,Optional Signal - History Based,Optional Signal - Reward Based
2,0.4,0.3,0.5,0.75,0.45,0.6
3,0.35,0.55,0.45,0.3,0.6,0.6
4,0.45,0.35,0.55,0.6,0.55,0.6
6,0.4,0.6,0.45,0.55,0.45,0.4
8,0.4,0.6,0.4,0.7,0.4,0.4
10,0.55,0.5,0.45,0.3,0.5,0.4
16,0.25,0.65,1.0,0.3,0.6,0.7
20,0.0,0.45,1.0,0.55,0,0.5
